subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.6371790242843862
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.9684444715446254
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.23103354961805847
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.8433451735043085
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-4.039572085388639
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.7658797022544412
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-4.050306819230313
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.845161690623211
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.8411443931487153
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-3.5388449173802337
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-4.886956523556708
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.087746038568716
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.011581972313601
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-2.2261767625828157
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.9437699351798448
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-2.257751615166958
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.9380396352956368
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.0568207350860503
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-1.973303019198452
