subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.183714377769354
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.6930156538156035
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-1.3032131610502515
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.7953287496071462
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.89845921767947
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.25367118365192126
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-9.20949065565748
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-8.596193235833743
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-8.158512168081733
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-9.770759697639782
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-8.985810302887325
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-9.433171008427635
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-6.396007446104595
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-10.341168172515475
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-11.373327410274062
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-11.689974997410815
