subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-7.236967452971277
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-7.6464489020441775
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-7.398919320456121
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-7.259324444541135
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-5.6498391516197985
sub19,task2,2,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-9.029036250269332
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.1789061565044876
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.0433613360300344
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.49871170884239924
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.3437713444186787
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.3974751918127223
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.259851196671762
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.7911727580392439
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.848339707595543
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",0.08383841038300162
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.6383453958494225
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",0.26609315970951286
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.024830920105543195
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.2738607312193729
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",0.048618756090053596
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",0.21837807757751543
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.9715156355154538
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.5467534411777218
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.005994210706138515
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.24653057796467231
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.5912102333478919
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.3414473130048831
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.6863616083352523
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",0.5602616698771191
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.19474617090055765
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",0.3621459117298233
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",0.6216095836431852
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",0.4759752374803784
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",0.3190413829103448
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.3983084492753078
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",0.33321588169343574
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",1.252643119531083
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",0.20092055971791986
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.386900729128821
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.5221770759866735
